source_id,n_ra,n_parallax,n_pmra,n_pmdec,n_phot_g_mean_flux,n_phot_g_mean_mag,n_phot_bp_mean_flux,n_phot_bp_mean_mag,n_phot_rp_mean_flux,n_phot_rp_mean_mag,n_bp_rp,n_bp_g,n_g_rp,teff_gspphot,logg_gspphot,mh_gspphot
102790735036452000,0.003,0.336,0.019,0.2,0.438,0.279,0.665,0.113,0.347,0.302,0.427,0.349,0.606,4523.7466,4.4776,-0.4457
87175500963226704,0.072,0.145,0.113,0.543,0.089,0.706,0.163,0.475,0.089,0.637,0.471,0.416,0.631,4128.1914,4.7852,-0.6556
72686549048832304,0.109,0.346,0.186,0.521,0.002,0.992,0.052,0.715,0.037,0.796,0.557,0.455,0.793,3561.6814,4.9938,-0.712
102144767659614000,0.899,0.46,0.273,0.306,0.001,0.996,0.031,0.798,0.034,0.806,0.626,0.6,0.779,3352.8857,4.6637,-1.1632
24640674053821400,0.465,0.372,0.167,0.925,0.019,0.916,0.063,0.681,0.045,0.764,0.553,0.498,0.727,3664.6907,4.709,-0.7503
72856492315250896,0.095,0.39,0.086,0.773,0.105,0.67,0.139,0.513,0.123,0.566,0.569,0.532,0.725,3584.1458,4.4777,-1.0973
74734702988792800,0.418,0.129,0.149,0.519,0.42,0.292,0.745,0.082,0.287,0.354,0.352,0.275,0.518,4960.562,4.7138,-1.0298
89074323184920304,0.694,0.211,0.095,0.858,0.034,0.859,0.054,0.708,0.074,0.675,0.657,0.625,0.821,3558.7847,4.2915,-0.4315
102397174297627008,0.7,0.097,0.128,0.513,0.01,0.952,0.073,0.652,0.027,0.838,0.461,0.397,0.63,4063.6833,5.0092,-1.5072
85967927957857600,0.271,0.2,0.053,0.343,0.118,0.644,0.172,0.462,0.128,0.556,0.531,0.477,0.699,3679.9944,4.4412,-1.1845
102570420394015008,0.026,0.153,0.073,0.571,0.304,0.392,0.553,0.163,0.218,0.425,0.365,0.284,0.538,4847.928,4.7811,-1.4192
86741606186926304,0.187,0.051,0.051,0.512,0.019,0.914,0.097,0.593,0.027,0.84,0.404,0.342,0.561,4551.647,4.8321,-2.0044
74389353258432608,0.363,0.424,0.354,0.221,0.121,0.639,0.15,0.495,0.142,0.532,0.583,0.543,0.743,3707.0596,4.8272,-0.4373
100117646175371008,0.084,0.577,0.421,0.088,0.237,0.465,0.24,0.38,0.261,0.378,0.61,0.575,0.769,3929.646,4.3895,-0.0213
73099346945731696,0.096,0.234,0.209,0.716,0.005,0.977,0.054,0.709,0.031,0.821,0.529,0.464,0.711,3790.4624,4.9248,-1.2745
100074490345434000,0.08,0.395,0.159,0.666,0.225,0.479,0.28,0.342,0.234,0.407,0.548,0.487,0.731,3886.3137,4.777,-0.5043
72780900890647808,0.168,0.449,0.155,0.677,0.017,0.923,0.042,0.751,0.05,0.747,0.634,0.615,0.778,3411.4233,4.6103,-1.1939
19639687149322100,0.657,0.215,0.141,0.066,0.271,0.426,0.412,0.241,0.223,0.42,0.443,0.378,0.611,4453.341,4.5534,0.1135
102116558314332000,0.895,0.048,0.298,0.366,0.059,0.781,0.209,0.414,0.04,0.784,0.286,0.202,0.446,5711.3296,4.7412,-2.5263
86560221128056096,0.738,0.283,0.369,0.441,0.342,0.356,0.531,0.174,0.275,0.364,0.429,0.352,0.608,4358.1533,4.792,-1.0224
102613679304656000,0.27,0.103,0.083,0.759,0.509,0.23,0.945,0.017,0.326,0.319,0.322,0.243,0.484,5295.599,4.657,-0.8982
74434501954630896,0.344,0.453,0.639,0.696,0.156,0.577,0.163,0.475,0.185,0.467,0.62,0.592,0.774,3768.2766,4.6243,-0.6556
103437179154099008,0.233,0.104,0.109,0.585,0.043,0.83,0.144,0.504,0.038,0.79,0.365,0.298,0.521,4728.993,4.8153,-1.2285
99791679632662096,0.26,0.357,0.28,0.16,0.149,0.588,0.189,0.439,0.162,0.501,0.558,0.512,0.721,3624.1707,4.0776,-1.216
19547530036042200,0.545,0.041,0.52,0.163,0.047,0.818,0.162,0.476,0.036,0.798,0.332,0.264,0.481,5149.4746,4.794,-2.1896
24325767052160000,0.421,0.186,0.213,0.171,0.03,0.873,0.083,0.626,0.051,0.742,0.521,0.459,0.699,3831.7205,4.8824,-1.2167
24397583200492400,0.666,0.104,0.119,0.53,0.467,0.258,0.854,0.045,0.327,0.318,0.349,0.255,0.535,5131.3574,4.7771,-2.2766
23282227438200700,0.947,0.511,0.201,0.27,0.383,0.321,0.471,0.206,0.354,0.297,0.518,0.459,0.692,4162.701,4.6982,-0.1931
99707356539555008,0.132,0.149,0.042,0.485,0.035,0.856,0.132,0.524,0.032,0.814,0.363,0.299,0.513,4739.4775,4.9257,-3.7395
87355442913042000,0.286,0.052,0.148,0.594,0.06,0.779,0.146,0.502,0.066,0.696,0.445,0.363,0.634,4159.549,4.9262,-1.444
87705190689570496,0.338,0.063,0.167,0.684,0.028,0.88,0.127,0.534,0.028,0.834,0.354,0.283,0.513,4806.123,4.8973,-2.1625
86566440242205408,0.81,0.327,0.099,0.204,0.004,0.98,0.034,0.784,0.036,0.8,0.617,0.595,0.762,3495.8813,4.8022,-1.1478
106594151915503008,0.285,0.217,0.084,0.583,0.207,0.503,0.361,0.276,0.165,0.496,0.409,0.335,0.582,4480.14,4.7394,-0.6986
23255293698341200,0.922,0.112,0.141,0.36,0.451,0.27,0.857,0.044,0.289,0.351,0.319,0.237,0.484,5283.5625,4.6659,-1.184
103185322271864000,0.534,0.072,0.109,0.667,0.003,0.987,0.056,0.702,0.02,0.874,0.476,0.439,0.613,4020.1792,5.0314,-1.5279
